,P_charged_centers,cLogP,Hbond_D,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio
621,1,6.12,0,4,100,80,100
622,1,6.12,0,8,100,80,100
623,1,6.12,0,12,100,80,100
624,1,6.12,0,4,50,20,100
625,1,6.12,0,8,50,20,100
626,1,6.12,0,12,50,20,100
627,1,6.12,0,4,50,40,100
628,1,6.12,0,8,50,40,100
629,1,6.12,0,12,50,40,100
630,1,6.12,0,4,50,60,100
631,1,6.12,0,8,50,60,100
632,1,6.12,0,12,50,60,100
633,1,6.12,0,4,50,80,100
634,1,6.12,0,8,50,80,100
635,1,6.12,0,12,50,80,100
636,1,6.12,0,4,10,20,100
637,1,6.12,0,8,10,20,100
638,1,6.12,0,12,10,20,100
639,1,6.12,0,4,10,40,100
640,1,6.12,0,8,10,40,100
641,1,6.12,0,12,10,40,100
642,1,6.12,0,4,10,60,100
643,1,6.12,0,8,10,60,100
644,1,6.12,0,12,10,60,100
645,1,6.12,0,4,10,80,100
646,1,6.12,0,8,10,80,100
647,1,6.12,0,12,10,80,100
648,1,6.12,0,4,1,20,100
649,1,6.12,0,8,1,20,100
650,1,6.12,0,12,1,20,100
651,1,6.12,0,4,1,40,100
652,1,6.12,0,8,1,40,100
653,1,6.12,0,12,1,40,100
654,1,6.12,0,4,1,60,100
655,1,6.12,0,8,1,60,100
656,1,6.12,0,12,1,60,100
657,1,6.12,0,4,1,80,100
658,1,6.12,0,8,1,80,100
659,1,6.12,0,12,1,80,100
660,1,6.12,0,4,200,20,10
661,1,6.12,0,8,200,20,10
662,1,6.12,0,12,200,20,10
663,1,6.12,0,4,200,40,10
664,1,6.12,0,8,200,40,10
665,1,6.12,0,12,200,40,10
666,1,6.12,0,4,200,60,10
667,1,6.12,0,8,200,60,10
668,1,6.12,0,12,200,60,10
669,1,6.12,0,4,200,80,10
670,1,6.12,0,8,200,80,10
671,1,6.12,0,12,200,80,10
672,1,6.12,0,4,100,20,10
673,1,6.12,0,8,100,20,10
674,1,6.12,0,12,100,20,10
675,1,6.12,0,4,100,40,10
676,1,6.12,0,8,100,40,10
677,1,6.12,0,12,100,40,10
678,1,6.12,0,4,100,60,10
679,1,6.12,0,8,100,60,10
680,1,6.12,0,12,100,60,10
681,1,6.12,0,4,100,80,10
682,1,6.12,0,8,100,80,10
683,1,6.12,0,12,100,80,10
684,1,6.12,0,4,50,20,10
685,1,6.12,0,8,50,20,10
686,1,6.12,0,12,50,20,10
687,1,6.12,0,4,50,40,10
688,1,6.12,0,8,50,40,10
689,1,6.12,0,12,50,40,10
690,1,6.12,0,4,50,60,10
691,1,6.12,0,8,50,60,10
692,1,6.12,0,12,50,60,10
693,1,6.12,0,4,50,80,10
694,1,6.12,0,8,50,80,10
695,1,6.12,0,12,50,80,10
696,1,6.12,0,4,10,20,10
697,1,6.12,0,8,10,20,10
698,1,6.12,0,12,10,20,10
699,1,6.12,0,4,10,40,10
700,1,6.12,0,8,10,40,10
701,1,6.12,0,12,10,40,10
702,1,6.12,0,4,10,60,10
703,1,6.12,0,8,10,60,10
