,Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,cTPSA,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,Size,Zeta,PDI,RLU_B16
290,291,DOPE,1,1,9.784,134.0,2,9,36,2,12,1,20,100,182.6,0.651,0.281,3.0
291,292,DOPE,1,1,9.784,134.0,2,9,36,2,4,1,40,100,179.9,-1.32,0.168333333,4.883
292,293,DOPE,1,1,9.784,134.0,2,9,36,2,8,1,40,100,196.2,2.876666667,0.148333333,5.097
294,295,DOPE,1,1,9.784,134.0,2,9,36,2,4,1,60,100,197.7,0.54,0.18,5.529
295,296,DOPE,1,1,9.784,134.0,2,9,36,2,8,1,60,100,148.4666667,4.106666667,0.206666667,6.308
296,297,DOPE,1,1,9.784,134.0,2,9,36,2,12,1,60,100,171.6333333,1.651,0.198666667,5.844
297,298,DOPE,1,1,9.784,134.0,2,9,36,2,4,1,80,100,253.0666667,-0.074666667,0.335333333,6.763
298,299,DOPE,1,1,9.784,134.0,2,9,36,2,8,1,80,100,186.6333333,-5.6,0.255,6.818
299,300,DOPE,1,1,9.784,134.0,2,9,36,2,12,1,80,100,150.0333333,6.683333333,0.178,6.02
303,304,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,40,10,170.1333333,-5.413333333,0.409333333,3.0
304,305,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,40,10,176.6666667,-1.593333333,0.290333333,3.0
306,307,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,60,10,153.6333333,-3.223333333,0.193,3.0
307,308,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,60,10,153.0333333,-1.48,0.370333333,3.0
308,309,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,60,10,149.9,-2.086666667,0.288333333,3.114
309,310,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,80,10,133.1,-3.64,0.144333333,3.0
310,311,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,80,10,138.3666667,-33.9,0.247666667,3.0
311,312,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,80,10,136.2333333,-2.783333333,0.169,4.111
315,316,DOPE,1,1,9.784,134.0,2,9,36,2,4,100,40,10,137.9333333,-6.893333333,0.216666667,3.0
318,319,DOPE,1,1,9.784,134.0,2,9,36,2,4,100,60,10,137.5666667,-3.093333333,0.191333333,3.0
319,320,DOPE,1,1,9.784,134.0,2,9,36,2,8,100,60,10,115.6333333,-2.686666667,0.217,3.0
320,321,DOPE,1,1,9.784,134.0,2,9,36,2,12,100,60,10,207.0666667,-1.29,0.332333333,3.0
321,322,DOPE,1,1,9.784,134.0,2,9,36,2,4,100,80,10,145.4,-3.763333333,0.130333333,3.0
322,323,DOPE,1,1,9.784,134.0,2,9,36,2,8,100,80,10,135.8666667,-36.3,0.231,3.0
323,324,DOPE,1,1,9.784,134.0,2,9,36,2,12,100,80,10,120.9333333,-1.66,0.173,3.277
326,327,DOPE,1,1,9.784,134.0,2,9,36,2,12,50,20,10,496.8333333,-6.54,0.378333333,3.0
327,328,DOPE,1,1,9.784,134.0,2,9,36,2,4,50,40,10,93.06666667,-2.723333333,0.211,3.0
330,331,DOPE,1,1,9.784,134.0,2,9,36,2,4,50,60,10,136.1666667,-2.57,0.159666667,3.0
331,332,DOPE,1,1,9.784,134.0,2,9,36,2,8,50,60,10,129.5,-1.666333333,0.283,3.0
333,334,DOPE,1,1,9.784,134.0,2,9,36,2,4,50,80,10,143.0333333,-3.51,0.155333333,3.0
334,335,DOPE,1,1,9.784,134.0,2,9,36,2,8,50,80,10,134.7,-36.66666667,0.230666667,3.0
335,336,DOPE,1,1,9.784,134.0,2,9,36,2,12,50,80,10,135.2333333,-2.383333333,0.219666667,3.75
339,340,DOPE,1,1,9.784,134.0,2,9,36,2,4,10,40,10,132.7666667,-5.483333333,0.226,3.091
341,342,DOPE,1,1,9.784,134.0,2,9,36,2,12,10,40,10,153.0,-1.983333333,0.411666667,3.0
342,343,DOPE,1,1,9.784,134.0,2,9,36,2,4,10,60,10,156.7333333,-3.656666667,0.235666667,3.367
343,344,DOPE,1,1,9.784,134.0,2,9,36,2,8,10,60,10,134.0666667,-1.370333333,0.204666667,3.239
344,345,DOPE,1,1,9.784,134.0,2,9,36,2,12,10,60,10,167.5,-2.37,0.380333333,3.541
345,346,DOPE,1,1,9.784,134.0,2,9,36,2,4,10,80,10,144.4333333,-4.92,0.081666667,3.0
346,347,DOPE,1,1,9.784,134.0,2,9,36,2,8,10,80,10,161.1333333,-31.9,0.24,3.401
347,348,DOPE,1,1,9.784,134.0,2,9,36,2,12,10,80,10,118.1666667,-2.056666667,0.198,4.635
